,lon,lat
110,37.615561,55.741469
111,37.615561,55.741469
112,,
113,37.615561,55.741469
114,37.615561,55.741469
115,37.615561,55.741469
116,,
117,37.615561,55.741469
118,,
119,37.615561,55.741469
120,37.615561,55.741469
121,,
122,35.361574,45.046583
123,37.615561,55.741469
124,,
125,37.615561,55.741469
126,37.615561,55.741469
127,37.615561,55.741469
128,37.503773,55.824124
129,37.615561,55.741469
130,37.615561,55.741469
131,37.615561,55.741469
132,37.548529,55.901676
133,37.632233,55.888836
134,37.615561,55.741469
135,37.615561,55.741469
136,37.615561,55.741469
137,37.719684,55.596199
138,37.615561,55.741469
139,37.615561,55.741469
140,37.514195,55.614775
141,37.615561,55.741469
142,37.615561,55.741469
143,37.615561,55.741469
144,37.615561,55.741469
145,37.615561,55.741469
146,37.615561,55.741469
147,37.660205,55.629052
148,37.71693,55.615071
149,37.615561,55.741469
150,37.615561,55.741469
151,37.615561,55.741469
152,37.587942,55.894333
153,,
154,,
155,37.615561,55.741469
156,,
157,,
158,37.615561,55.741469
159,37.615561,55.741469
160,,
161,37.677578,55.729353
162,37.615561,55.741469
163,,
164,37.615561,55.741469
165,37.615561,55.741469
166,,
167,37.615561,55.741469
168,37.615561,55.741469
169,,
170,37.615561,55.741469
171,37.615561,55.741469
172,,
173,37.615561,55.741469
174,37.615561,55.741469
175,,
176,37.615561,55.741469
177,37.615561,55.741469
178,37.615561,55.741469
179,,
180,37.685836,55.731391
181,37.615561,55.741469
182,37.615561,55.741469
183,37.615561,55.741469
184,37.615561,55.741469
185,37.478515,55.827303
186,37.773158,55.750309
187,37.615561,55.741469
188,37.683702,55.761104
189,37.615561,55.741469
190,37.615561,55.741469
191,37.615561,55.741469
192,,
193,37.35151,55.775788
194,37.737884,55.645864
195,37.615561,55.741469
196,37.615561,55.741469
197,37.615561,55.741469
198,37.615561,55.741469
199,37.615561,55.741469
200,37.615561,55.741469
201,37.615561,55.741469
202,,
203,37.615561,55.741469
204,37.615561,55.741469
205,,
206,37.615561,55.741469
207,37.717784,55.803704
208,,
209,,
210,,
211,37.615561,55.741469
212,,
213,,
214,37.615561,55.741469
215,,
216,37.615561,55.741469
217,37.667516,55.629769
218,37.548529,55.901676
219,37.615561,55.741469
220,37.53596,55.604193
221,37.615561,55.741469
222,37.615561,55.741469
223,37.615561,55.741469
224,37.615561,55.741469
225,,
226,,
227,37.615561,55.741469
228,37.615561,55.741469
229,113.968605,62.52723
230,37.615561,55.741469
231,37.615561,55.741469
232,37.615561,55.741469
233,37.615561,55.741469
234,37.615561,55.741469
235,37.615561,55.741469
236,37.615561,55.741469
237,37.792767,55.809586
238,37.511893,55.808949
239,37.615561,55.741469
240,37.615561,55.741469
241,37.615561,55.741469
242,37.615561,55.741469
243,37.615561,55.741469
244,37.615561,55.741469
245,37.615561,55.741469
246,30.17381,59.616339
247,,
248,37.744889,55.711043
249,37.615561,55.741469
250,,
251,37.615561,55.741469
252,37.615561,55.741469
253,,
254,37.615561,55.741469
255,37.672867,55.718208
256,,
257,37.587942,55.894333
258,37.623571,55.680128
259,37.615561,55.741469
260,37.615561,55.741469
261,37.615561,55.741469
262,,
263,37.615561,55.741469
264,37.615561,55.741469
265,,
266,37.615561,55.741469
267,37.615561,55.741469
268,,
269,37.615561,55.741469
270,37.615561,55.741469
271,,
272,37.615561,55.741469
273,37.55208,55.757446
274,,
275,37.615561,55.741469
276,37.615561,55.741469
277,37.615561,55.741469
